code;name;sell_price;buy_price
US-C0114;"UNION STORZ 2.1/2"" COLA ESPINA DE PESCADO 2.1/2""";18048;0
US-C0115;"UNION STORZ 1"" COLA ESPINA DE PESCADO 1.1/4""";16396;0
US-C0116;"UNION STORZ 2.1/2"" COLA ESPINA DE PESCADO 1.1/2""";16252;0
US-C0117;"UNION STORZ 2.1/2"" COLA ESPINA DE PESCADO 2""";18095;0
US-C0118;"UNION STORZ 2.1/2"" COLA ESPINA DE PESCADO 2.3/4""(70)";18043;0
US-C0119;"UNION STORZ 2.1/2"" COLA ESPINA DE PESCADO 3""";21080;0
US-C0120;"UNION STORZ 2.1/2"" COLA ESPINA DE PESCADO 2.1/2""";22253;0
US-C0121;"UNION STORZ 3"" COLA ESPINA DE PESCADO 3""";21550;0
US-C0122;"UNION STORZ 3"" COLA ESPINA DE PESCADO 1.1/4""";20843;0
US-C0123;"UNION STORZ 3"" COLA ESPINA DE PESCADO 1.1/2""";21071;0
US-C0124;"UNION STORZ 3"" COLA ESPINA DE PESCADO 2""";22391;0
US-C0125;"UNION STORZ 3"" COLA ESPINA DE PESCADO 2.1/2""";23137;0
US-C0126;"UNION STORZ 3"" COLA ESPINA DE PESCADO 2.3/4""";21535;0
US-C0127;"UNION STORZ 3"" COLA ESPINA DE PESCADO 1""";26538;0
US-C0128;"UNION STORZ 3"" COLA ESPINA DE PESCADO 3""";26538;0
US-C0129;"UNION STORZ 4"" COLA ESPINA DE PESCADO 4""";36305;0
US-C0130;"UNION STORZ 4"" COLA ESPINA DE PESCADO 2.1/2""";37149;0
US-C0131;"UNION STORZ 4"" COLA ESPINA DE PESCADO 3""";37373;0
US-C0132;"UNION STORZ 4"" COLA ESPINA DE PESCADO 4""";41310;0
TS-H0200;"TUERCA STORZ 1"" HI 1"" hpp = 11 B S P";8045;0
TS-H0201;"TUERCA STORZ 1 "" HI 1/2"" hpp = 11 B S P";7035;0
TS-H0202;"TUERCA STORZ 1 "" HI 3/4"" hpp = 11 B S P";6821;0
TS-H0203;"TUERCA STORZ 1 1/2"" HI 1 1/2"" hpp = 11 B S P";10397;0
TS-H0204;"TUERCA STORZ 1 1/2"" HI 1"" hpp = 11 B S P";11753;0
TS-H0205;"TUERCA STORZ 1 1/2"" HI 1 1/4"" hpp = 11 B S P";12193;0
TS-H0206;"TUERCA STORZ 1 1/2"" HI 2"" hpp = 11 B S P";12688;0
TS-H0207;"TUERCA STORZ 1 1/2"" HI 2 1/2"" hpp = 11 B S P";14911;0
TS-H0208;"TUERCA STORZ 1 1/2"" HI 3"" hpp = 11 B S P";25304;0
TS-H0209;"TUERCA STORZ 2"" HI 2"" hpp = 11 B S P";10463;0
TS-H0210;"TUERCA STORZ 2"" HI 1"" hpp = 11 B S P";10773;0
TS-H0211;"TUERCA STORZ 2"" HI 1 1/4"" hpp = 11 B S P";10858;0
TS-H0212;"TUERCA STORZ 2"" HI 1 1/2"" hpp = 11 B S P";10858;0
TS-H0213;"TUERCA STORZ 2 1/2"" HI 2 1/2"" hpp = 11 B S P";20056;0
TS-H0214;"TUERCA STORZ2 1/2"" HI 1"" hpp = 11 B S P";21164;0
TS-H0215;"TUERCA STORZ2 1/2"" HI 1 1/4"" hpp = 11 B S P";21164;0
TS-H0216;"TUERCA STORZ 2 1/2"" HI 1 1/2 hpp = 11 B S P";26185;0
TS-H0217;"TUERCA STORZ 3"" HI 3"" hpp =11 B S P";21756;0
TS-H0218;"TUERCA STORZ 3"" HI 1 1/2"" hpp =11 B S P";27707;0
TS-H0219;"TUERCA STORZ 3"" HI 2"" hpp =11 B S P";27938;0
TS-H0220;"TUERCA STORZ 4"" HI 4"" hpp =11 B S P";55307;0
TS-H0221;"TUERCA STORZ 4"" HI 3"" hpp =11 B S P";55070;0
TS-H0222;"TUERCA STORZ 5"" HI 5"" hpp =11 B S P";67543;0
TS-N0300;"TUERCA STORZ  1"" HI-HE 1"" hpp = 8 [N H - N S T ]";8939;0
TS-N0301;"TUERCA STORZ 1"" HI-HE 1/2"" hpp = 8 [N H - N S T ]";7817;0
TS-N0302;"TUERCA STORZ 1"" HI-HE 3/4"" hpp = 8 [N H - N S T ]";7578;0
TS-N0303;"TUERCA STORZ 1"" HI-HE 1 1/4"" hpp = 9 [N H - N S T ]";8939;0
TS-N0304;"TUERCA STORZ 1"" HI-HE 1 1/2"" hpp = 9 [N H - N S T ]";8939;0
TS-N0305;"TUERCA STORZ 1 1/2"" HI-HE 1 1/2"" hpp = 9 [N H - N S T ]";11296;0
TS-N0306;"TUERCA STORZ 1 1/2"" HI-HE 1"" hpp = 8 [N H - N S T ]";13059;0
TS-N0307;"TUERCA STORZ 1 1/2"" HI-HE 1 1/4"" hpp = 9 [N H - N S T ]";13548;0
TS-N0308;"TUERCA STORZ 1 1/2"" HI-HE 2"" hpp = 8 [N H - N S T ]";14098;0
TS-N0309;"TUERCA STORZ 1 1/2"" HI-HE 2 1/2"" hpp = 7 1/2 [N H - N S T ]";16567;0
TS-N0310;"TUERCA STORZ  1 1/2"" HI-HE 3"" hpp = 6 [N H - N S T ]";28116;0
TS-N0311;"TUERCA STORZ  2"" HI-HE 2"" hpp = 8 [N H - N S T ]";11625;0
TS-N0312;"TUERCA STORZ 2"" HI-HE 1"" hpp = 8 [N H - N S T ]";11970;0
